Report_ID,Region,Division,School_Name,Month,Report_Date,Total_Students,Attendance_Rate,Average_Grade,Teachers,Teacher_Absences,Budget_Utilization,Remarks
DEPED-2025-001,NCR,Quezon City,Doña Carmen High School,January,2025-01-31,1785,95.3,84.2,62,4,91.5,On track
DEPED-2025-002,NCR,Manila,Manila Science High School,January,2025-01-31,1240,97.1,89.4,58,1,94.8,Excellent performance
DEPED-2025-003,Region IV-A,Cavite,Bacoor National High School,January,2025-01-31,2032,93.8,80.5,74,6,88.2,Needs improvement in attendance
DEPED-2025-004,Region VII,Cebu,Cebu City Science High School,January,2025-01-31,1105,96.7,90.1,49,2,92.3,Consistent excellence
DEPED-2025-005,Region XI,Davao,Davao City National High School,January,2025-01-31,2124,94.6,83.7,80,3,89.7,Good academic standing
DEPED-2025-006,NCR,Quezon City,Doña Carmen High School,February,2025-02-28,1791,96.1,85.0,62,3,92.2,Improved attendance
DEPED-2025-007,NCR,Manila,Manila Science High School,February,2025-02-28,1242,97.4,90.2,58,1,95.5,Stable high performance
DEPED-2025-008,Region IV-A,Cavite,Bacoor National High School,February,2025-02-28,2035,94.5,81.6,74,4,89.1,Improving academics
DEPED-2025-009,Region VII,Cebu,Cebu City Science High School,February,2025-02-28,1110,96.8,90.6,49,1,93.0,On track
DEPED-2025-010,Region XI,Davao,Davao City National High School,February,2025-02-28,2130,94.9,84.3,80,3,90.4,Consistent
DEPED-2025-011,NCR,Quezon City,Doña Carmen High School,March,2025-03-31,1802,95.8,85.5,62,2,93.4,Stable trend
DEPED-2025-012,NCR,Manila,Manila Science High School,March,2025-03-31,1245,97.6,91.1,58,0,96.1,Outstanding
DEPED-2025-013,Region IV-A,Cavite,Bacoor National High School,March,2025-03-31,2040,95.2,82.3,74,5,89.7,Positive trend
DEPED-2025-014,Region VII,Cebu,Cebu City Science High School,March,2025-03-31,1112,96.9,90.8,49,1,93.8,Maintaining high standards
DEPED-2025-015,Region XI,Davao,Davao City National High School,March,2025-03-31,2138,95.0,84.9,80,2,91.2,Good progress
